0001D2	24	inXtron, Inc.
0001D3	24	PAXCOMM, Inc.
0001D4	24	Leisure Time, Inc.
0001D5	24	HAEDONG INFO & COMM CO., LTD
0001D6	24	manroland AG
0001D7	24	F5 Inc.
0001D8	24	Teltronics, Inc.
0001D9	24	Sigma, Inc.
0001DA	24	WINCOMM Corporation
0001DB	24	Freecom Technologies GmbH
0001DC	24	Activetelco
0001DD	24	Avail Networks
0001DE	24	Trango Systems, Inc.
0001DF	24	ISDN Communications, Ltd.
0001E0	24	Fast Systems, Inc.
0001E1	24	Kinpo Electronics, Inc.
0001E2	24	Ando Electric Corporation
0001E3	24	Siemens AG
0001E4	24	Sitera, Inc.
0001E5	24	Supernet, Inc.
0001E6	24	Hewlett Packard
0001E7	24	Hewlett Packard
0001E8	24	Force10 Networks, Inc.
0001E9	24	Litton Marine Systems B.V.
0001EA	24	Cirilium Corp.
0001EB	24	C-COM Corporation
0001EC	24	Ericsson Group
0001ED	24	SETA Corp.
0001EE	24	Comtrol Europe, Ltd.
0001EF	24	Camtel Technology Corp.
0001F0	24	Tridium, Inc.
0001F1	24	Innovative Concepts, Inc.
0001F2	24	Mark of the Unicorn, Inc.
0001F3	24	QPS, Inc.
0001F4	24	Enterasys
0001F5	24	ERIM S.A.
0001F6	24	Association of Musical Electronics Industry
0001F7	24	Image Display Systems, Inc.
0001F8	24	TEXIO TECHNOLOGY CORPORATION
0001F9	24	TeraGlobal Communications Corp.
0001FA	24	HOROSCAS
0001FB	24	DoTop Technology, Inc.
0001FC	24	Keyence Corporation
0001FD	24	Digital Voice Systems, Inc.
0001FE	24	DIGITAL EQUIPMENT CORPORATION
0001FF	24	Data Direct Networks, Inc.
000200	24	Net & Sys Co., Ltd.
000201	24	IFM Electronic gmbh
000202	24	Amino Communications, Ltd.
000203	24	Woonsang Telecom, Inc.
000204	24	Bodmann Industries Elektronik GmbH
000205	24	Hitachi Denshi, Ltd.
000206	24	Telital R&D Denmark A/S
000207	24	VisionGlobal Network Corp.
000208	24	Unify Networks, Inc.
000209	24	Shenzhen SED Information Technology Co., Ltd.
00020A	24	Gefran Spa
00020B	24	Native Networks, Inc.
00020C	24	Metro-Optix
00020D	24	Micronpc.com
00020E	24	ECI Telecom Ltd.
00020F	24	AATR
000210	24	Fenecom
000211	24	Nature Worldwide Technology Corp.
000212	24	SierraCom
000213	24	S.D.E.L.
000214	24	DTVRO
000215	24	Cotas Computer Technology A/B
000216	24	Cisco Systems, Inc
000217	24	Cisco Systems, Inc
000218	24	Advanced Scientific Corp
000219	24	Paralon Technologies
00021A	24	Zuma Networks
00021B	24	Kollmorgen-Servotronix
00021C	24	Network Elements, Inc.
00021D	24	Data General Communication Ltd.
00021E	24	SIMTEL S.R.L.
00021F	24	Aculab PLC
000220	24	CANON FINETECH INC.
000221	24	DSP Application, Ltd.
000222	24	Chromisys, Inc.
000223	24	ClickTV
000224	24	C-COR
000225	24	One Stop Systems
000226	24	XESystems, Inc.
000227	24	ESD Electronic System Design GmbH
000228	24	Necsom, Ltd.
000229	24	Adtec Corporation
00022A	24	Asound Electronic
00022B	24	SAXA, Inc.
00022C	24	ABB Bomem, Inc.
00022D	24	Agere Systems
00022E	24	TEAC Corp. R& D
00022F	24	P-Cube, Ltd.
000230	24	Intersoft Electronics
000231	24	Ingersoll-Rand
000232	24	Avision, Inc.
000233	24	Mantra Communications, Inc.
